Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00     1212     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00      847     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >& std::forward<std::basic_string_view<char, std::char_traits<char> >&>(std::remove_reference<std::basic_string_view<char, std::char_traits<char> >&>::type&)
  0.00      0.01     0.00      701     0.00     0.00  char const* const& std::forward<char const* const&>(std::remove_reference<char const* const&>::type&)
  0.00      0.01     0.00      620     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.01     0.00      492     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false> > >::_M_node_allocator()
  0.00      0.01     0.00      492     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false> >, true>::_M_get()
  0.00      0.01     0.00      486     0.00     0.00  std::unordered_map<char const*, std::vector<double, std::allocator<double> >, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> > > > >* std::__addressof<std::unordered_map<char const*, std::vector<double, std::allocator<double> >, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> > > > > >(std::unordered_map<char const*, std::vector<double, std::allocator<double> >, PtrHash, PtrEq, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> > > > >&)
  0.00      0.01     0.00      486     0.00     0.00  std::unordered_map<char const*, double, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double> > >* std::__addressof<std::unordered_map<char const*, double, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double> > > >(std::unordered_map<char const*, double, PtrHash, PtrEq, std::allocator<std::pair<char const* const, double> > >&)
  0.00      0.01     0.00      484     0.00     0.00  __gnu_cxx::__aligned_buffer<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_M_ptr()
  0.00      0.01     0.00      484     0.00     0.00  __gnu_cxx::__aligned_buffer<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_M_addr()
  0.00      0.01     0.00      484     0.00     0.00  std::__detail::_Hash_node_value_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_M_valptr()
  0.00      0.01     0.00      432     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00      0.01     0.00      427     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.01     0.00      406     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.01     0.00      383     0.00     0.00  char const* const& std::__detail::_Identity::operator()<char const* const&>(char const* const&) const
  0.00      0.01     0.00      367     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> > >, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> > > >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_begin() const
  0.00      0.01     0.00      367     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double>, std::allocator<std::pair<char const* const, double> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_begin() const
  0.00      0.01     0.00      360     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, std::vector<double, std::allocator<double> > >, std::allocator<std::pair<char const* const, std::vector<double, std::allocator<double> > > >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      0.01     0.00      360     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double>, std::allocator<std::pair<char const* const, double> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      0.01     0.00      292     0.00     0.00  std::__detail::_Hash_code_base<char const*, char const*, std::__detail::_Identity, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(char const* const&) const
  0.00      0.01     0.00      292     0.00     0.00  std::__detail::_Hash_code_base<char const*, char const*, std::__detail::_Identity, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
